finding_id,asset_id,severity,cvss,exploitability,network_reachable,compensating_control,status
VUL-00310,OT-01599,MEDIUM,6.4,LOW,YES,SEGMENTED,MITIGATED
VUL-00311,OT-00076,MEDIUM,8.7,LOW,NO,NONE,OPEN
VUL-00312,OT-00636,CRITICAL,6.7,MEDIUM,NO,SEGMENTED,OPEN
VUL-00313,OT-00187,MEDIUM,8.0,LOW,YES,MONITORED,OPEN
VUL-00314,OT-00860,LOW,6.2,HIGH,UNKNOWN,SEGMENTED,OPEN
VUL-00315,OT-01538,CRITICAL,9.7,MEDIUM,UNKNOWN,MONITORED,MITIGATED
VUL-00316,OT-01805,LOW,4.3,HIGH,UNKNOWN,UNKNOWN,OPEN
VUL-00317,OT-01759,CRITICAL,4.3,MEDIUM,YES,SEGMENTED,OPEN
VUL-00318,OT-01857,MEDIUM,8.7,MEDIUM,UNKNOWN,NONE,OPEN
VUL-00319,OT-00563,LOW,4.6,LOW,UNKNOWN,MONITORED,OPEN
VUL-00320,OT-00479,LOW,9.1,HIGH,YES,ALLOWLIST,ACCEPTED
VUL-00321,OT-01688,LOW,8.4,MEDIUM,YES,ALLOWLIST,ACCEPTED
VUL-00322,OT-00348,MEDIUM,9.2,MEDIUM,UNKNOWN,MONITORED,MITIGATED
VUL-00323,OT-01658,HIGH,9.2,LOW,UNKNOWN,MONITORED,MITIGATED
VUL-00324,OT-00390,CRITICAL,5.7,MEDIUM,YES,ALLOWLIST,OPEN
VUL-00325,OT-01949,MEDIUM,9.6,HIGH,NO,NONE,OPEN
VUL-00326,OT-00861,MEDIUM,7.1,LOW,UNKNOWN,NONE,OPEN
VUL-00327,OT-00570,MEDIUM,8.3,MEDIUM,YES,UNKNOWN,OPEN
VUL-00328,OT-01879,HIGH,7.1,MEDIUM,NO,SEGMENTED,OPEN
VUL-00329,OT-00642,CRITICAL,9.0,LOW,NO,UNKNOWN,MITIGATED
VUL-00330,OT-00862,LOW,4.9,HIGH,YES,ALLOWLIST,OPEN
VUL-00331,OT-00283,HIGH,5.8,MEDIUM,UNKNOWN,MONITORED,MITIGATED
VUL-00332,OT-01992,HIGH,7.0,HIGH,NO,ALLOWLIST,OPEN
VUL-00333,OT-01553,HIGH,6.4,MEDIUM,YES,UNKNOWN,OPEN
VUL-00334,OT-00544,CRITICAL,4.0,MEDIUM,NO,NONE,MITIGATED
VUL-00335,OT-01309,HIGH,8.1,HIGH,UNKNOWN,NONE,ACCEPTED
VUL-00336,OT-01121,LOW,7.0,LOW,UNKNOWN,ALLOWLIST,OPEN
VUL-00337,OT-00094,LOW,4.3,MEDIUM,UNKNOWN,NONE,OPEN
VUL-00338,OT-02004,CRITICAL,7.8,HIGH,UNKNOWN,NONE,MITIGATED
VUL-00339,OT-02006,CRITICAL,9.0,HIGH,UNKNOWN,ALLOWLIST,OPEN
VUL-00340,OT-00227,MEDIUM,5.3,LOW,NO,NONE,OPEN
VUL-00341,OT-00512,LOW,4.2,MEDIUM,UNKNOWN,SEGMENTED,OPEN
VUL-00342,OT-00883,LOW,5.3,LOW,UNKNOWN,SEGMENTED,OPEN
VUL-00343,OT-00445,MEDIUM,8.1,LOW,NO,UNKNOWN,MITIGATED
VUL-00344,OT-01218,LOW,9.8,MEDIUM,YES,ALLOWLIST,ACCEPTED
VUL-00345,OT-01441,MEDIUM,7.3,LOW,NO,ALLOWLIST,OPEN
VUL-00346,OT-01849,CRITICAL,7.7,HIGH,UNKNOWN,SEGMENTED,ACCEPTED
VUL-00347,OT-01275,CRITICAL,8.5,HIGH,NO,SEGMENTED,OPEN
VUL-00348,OT-00720,LOW,9.5,MEDIUM,UNKNOWN,MONITORED,OPEN
VUL-00349,OT-00689,LOW,7.8,LOW,YES,NONE,OPEN
VUL-00350,OT-00106,MEDIUM,6.1,LOW,UNKNOWN,ALLOWLIST,OPEN
VUL-00351,OT-00932,CRITICAL,4.6,HIGH,UNKNOWN,NONE,MITIGATED
VUL-00352,OT-00497,MEDIUM,6.6,MEDIUM,NO,UNKNOWN,OPEN
VUL-00353,OT-01708,HIGH,6.8,HIGH,UNKNOWN,UNKNOWN,OPEN
VUL-00354,OT-00093,HIGH,7.3,HIGH,YES,SEGMENTED,OPEN
VUL-00355,OT-00717,HIGH,5.7,HIGH,YES,MONITORED,MITIGATED
VUL-00356,OT-01014,MEDIUM,6.8,MEDIUM,YES,ALLOWLIST,OPEN
VUL-00357,OT-00217,LOW,7.7,LOW,UNKNOWN,MONITORED,MITIGATED
VUL-00358,OT-00270,HIGH,5.1,LOW,NO,SEGMENTED,OPEN
VUL-00359,OT-00965,HIGH,4.8,HIGH,YES,NONE,OPEN
VUL-00360,OT-00690,MEDIUM,7.7,LOW,UNKNOWN,SEGMENTED,OPEN
VUL-00361,OT-00474,CRITICAL,6.1,LOW,YES,SEGMENTED,OPEN
VUL-00362,OT-00394,HIGH,8.5,LOW,UNKNOWN,NONE,OPEN
VUL-00363,OT-01151,CRITICAL,4.1,LOW,UNKNOWN,ALLOWLIST,OPEN
VUL-00364,OT-00763,HIGH,8.4,HIGH,NO,MONITORED,OPEN
VUL-00365,OT-00670,HIGH,4.5,HIGH,YES,ALLOWLIST,ACCEPTED
VUL-00366,OT-01252,LOW,8.7,LOW,YES,SEGMENTED,MITIGATED
VUL-00367,OT-00944,MEDIUM,5.4,MEDIUM,UNKNOWN,MONITORED,OPEN
VUL-00368,OT-01216,MEDIUM,6.9,HIGH,YES,SEGMENTED,OPEN
VUL-00369,OT-00317,MEDIUM,9.9,HIGH,NO,MONITORED,OPEN
VUL-00370,OT-00603,HIGH,4.6,LOW,NO,UNKNOWN,OPEN
VUL-00371,OT-01397,CRITICAL,8.7,MEDIUM,UNKNOWN,SEGMENTED,ACCEPTED
VUL-00372,OT-00651,MEDIUM,6.3,LOW,YES,MONITORED,OPEN
VUL-00373,OT-00238,HIGH,8.3,LOW,UNKNOWN,NONE,ACCEPTED
VUL-00374,OT-01731,LOW,5.2,LOW,UNKNOWN,UNKNOWN,OPEN
VUL-00375,OT-00650,LOW,7.4,HIGH,UNKNOWN,UNKNOWN,ACCEPTED
VUL-00376,OT-00745,LOW,9.2,MEDIUM,NO,ALLOWLIST,ACCEPTED
VUL-00377,OT-01414,HIGH,7.6,LOW,UNKNOWN,MONITORED,OPEN
VUL-00378,OT-01638,MEDIUM,8.4,MEDIUM,NO,SEGMENTED,OPEN
VUL-00379,OT-00115,MEDIUM,6.6,MEDIUM,YES,SEGMENTED,MITIGATED
VUL-00380,OT-00360,HIGH,5.1,HIGH,YES,ALLOWLIST,ACCEPTED
VUL-00381,OT-01157,LOW,4.1,HIGH,NO,ALLOWLIST,OPEN
VUL-00382,OT-01109,CRITICAL,6.6,LOW,UNKNOWN,MONITORED,OPEN
VUL-00383,OT-01823,HIGH,6.2,MEDIUM,YES,MONITORED,MITIGATED
VUL-00384,OT-01376,LOW,9.6,LOW,YES,UNKNOWN,OPEN
VUL-00385,OT-00331,CRITICAL,4.7,HIGH,UNKNOWN,UNKNOWN,OPEN
VUL-00386,OT-01457,HIGH,6.0,HIGH,UNKNOWN,NONE,OPEN
VUL-00387,OT-01007,CRITICAL,6.4,MEDIUM,NO,UNKNOWN,OPEN
VUL-00388,OT-00702,MEDIUM,9.0,LOW,UNKNOWN,ALLOWLIST,OPEN
VUL-00389,OT-01566,MEDIUM,8.9,HIGH,NO,ALLOWLIST,OPEN
VUL-00390,OT-00287,CRITICAL,4.4,MEDIUM,YES,UNKNOWN,MITIGATED
VUL-00391,OT-01304,MEDIUM,8.1,MEDIUM,UNKNOWN,ALLOWLIST,ACCEPTED
VUL-00392,OT-01411,CRITICAL,6.4,MEDIUM,YES,UNKNOWN,OPEN
VUL-00393,OT-00044,HIGH,9.4,HIGH,NO,SEGMENTED,OPEN
VUL-00394,OT-00409,CRITICAL,4.9,MEDIUM,NO,ALLOWLIST,OPEN
VUL-00395,OT-01585,HIGH,9.2,LOW,YES,SEGMENTED,OPEN
VUL-00396,OT-00552,LOW,4.8,HIGH,NO,NONE,MITIGATED
VUL-00397,OT-00314,HIGH,5.7,MEDIUM,YES,SEGMENTED,ACCEPTED
VUL-00398,OT-00022,HIGH,5.4,MEDIUM,UNKNOWN,UNKNOWN,OPEN
VUL-00399,OT-01689,CRITICAL,5.0,LOW,UNKNOWN,NONE,OPEN
VUL-00400,OT-00199,HIGH,4.4,LOW,UNKNOWN,NONE,OPEN
VUL-00401,OT-01775,HIGH,5.2,HIGH,NO,UNKNOWN,OPEN
VUL-00402,OT-01623,LOW,9.4,MEDIUM,NO,NONE,OPEN
VUL-00403,OT-00459,CRITICAL,7.8,MEDIUM,UNKNOWN,NONE,ACCEPTED
VUL-00404,OT-00738,LOW,7.0,LOW,NO,NONE,MITIGATED
VUL-00405,OT-01653,LOW,4.2,HIGH,NO,UNKNOWN,OPEN
VUL-00406,OT-00975,LOW,6.9,LOW,YES,ALLOWLIST,OPEN
VUL-00407,OT-01463,LOW,5.8,HIGH,UNKNOWN,SEGMENTED,OPEN
VUL-00408,OT-01691,HIGH,9.0,HIGH,NO,UNKNOWN,OPEN
VUL-00409,OT-01957,LOW,7.7,HIGH,YES,UNKNOWN,OPEN
VUL-00410,OT-01670,LOW,4.2,HIGH,YES,SEGMENTED,OPEN
VUL-00411,OT-00510,CRITICAL,6.2,HIGH,UNKNOWN,SEGMENTED,OPEN
VUL-00412,OT-01241,MEDIUM,9.4,HIGH,YES,MONITORED,OPEN
VUL-00413,OT-00586,CRITICAL,6.3,LOW,UNKNOWN,ALLOWLIST,OPEN
VUL-00414,OT-00461,LOW,9.0,MEDIUM,NO,SEGMENTED,OPEN
VUL-00415,OT-01806,LOW,6.5,MEDIUM,YES,NONE,OPEN
VUL-00416,OT-00555,LOW,5.3,HIGH,UNKNOWN,MONITORED,MITIGATED
VUL-00417,OT-01950,LOW,9.0,HIGH,UNKNOWN,MONITORED,OPEN
VUL-00418,OT-00188,MEDIUM,9.9,LOW,UNKNOWN,MONITORED,OPEN
VUL-00419,OT-00568,CRITICAL,6.7,LOW,NO,SEGMENTED,OPEN
VUL-00420,OT-01732,CRITICAL,5.8,LOW,YES,UNKNOWN,OPEN
VUL-00421,OT-01707,HIGH,9.1,LOW,YES,NONE,MITIGATED
VUL-00422,OT-00262,CRITICAL,6.2,MEDIUM,YES,UNKNOWN,OPEN
VUL-00423,OT-00472,MEDIUM,6.8,MEDIUM,UNKNOWN,SEGMENTED,OPEN
VUL-00424,OT-01746,HIGH,8.7,MEDIUM,UNKNOWN,ALLOWLIST,OPEN
VUL-00425,OT-00601,LOW,8.7,MEDIUM,NO,MONITORED,OPEN
VUL-00426,OT-01257,CRITICAL,4.8,LOW,NO,ALLOWLIST,OPEN
VUL-00427,OT-01184,HIGH,5.5,LOW,NO,NONE,OPEN
VUL-00428,OT-00688,HIGH,7.4,LOW,NO,UNKNOWN,OPEN
VUL-00429,OT-01580,LOW,5.8,MEDIUM,UNKNOWN,UNKNOWN,MITIGATED
VUL-00430,OT-00411,CRITICAL,8.9,MEDIUM,YES,MONITORED,OPEN
VUL-00431,OT-01863,HIGH,5.9,LOW,YES,ALLOWLIST,OPEN
VUL-00432,OT-00208,LOW,7.5,LOW,NO,NONE,OPEN
VUL-00433,OT-00447,LOW,7.5,MEDIUM,NO,MONITORED,MITIGATED
VUL-00434,OT-01236,CRITICAL,8.7,LOW,NO,NONE,OPEN
VUL-00435,OT-00178,HIGH,9.5,LOW,NO,NONE,OPEN
VUL-00436,OT-00889,LOW,8.7,HIGH,YES,NONE,ACCEPTED
VUL-00437,OT-01858,HIGH,8.1,LOW,YES,ALLOWLIST,OPEN
VUL-00438,OT-00674,CRITICAL,9.3,MEDIUM,NO,ALLOWLIST,OPEN
VUL-00439,OT-00909,HIGH,5.6,MEDIUM,YES,UNKNOWN,ACCEPTED
VUL-00440,OT-01063,LOW,8.7,LOW,UNKNOWN,SEGMENTED,OPEN
VUL-00441,OT-00210,MEDIUM,8.5,MEDIUM,UNKNOWN,MONITORED,ACCEPTED
VUL-00442,OT-00735,MEDIUM,8.9,MEDIUM,UNKNOWN,UNKNOWN,OPEN
VUL-00443,OT-01579,MEDIUM,8.0,LOW,NO,UNKNOWN,OPEN
VUL-00444,OT-00531,CRITICAL,9.1,HIGH,YES,ALLOWLIST,OPEN
VUL-00445,OT-00168,HIGH,8.0,HIGH,NO,NONE,OPEN
VUL-00446,OT-01120,LOW,9.2,HIGH,NO,NONE,OPEN
VUL-00447,OT-01518,CRITICAL,5.8,LOW,YES,SEGMENTED,OPEN
VUL-00448,OT-00318,CRITICAL,9.7,MEDIUM,UNKNOWN,SEGMENTED,OPEN
VUL-00449,OT-01757,HIGH,9.9,LOW,UNKNOWN,NONE,OPEN
VUL-00450,OT-01859,LOW,8.0,MEDIUM,YES,ALLOWLIST,OPEN
VUL-00451,OT-00930,HIGH,8.6,LOW,UNKNOWN,SEGMENTED,OPEN
VUL-00452,OT-01212,HIGH,7.9,HIGH,YES,MONITORED,OPEN
VUL-00453,OT-01175,MEDIUM,4.8,LOW,YES,UNKNOWN,ACCEPTED
VUL-00454,OT-01820,CRITICAL,5.6,MEDIUM,UNKNOWN,SEGMENTED,MITIGATED
VUL-00455,OT-01308,MEDIUM,5.9,HIGH,NO,UNKNOWN,OPEN
VUL-00456,OT-00204,MEDIUM,4.9,MEDIUM,UNKNOWN,MONITORED,OPEN
VUL-00457,OT-01951,LOW,5.5,LOW,UNKNOWN,SEGMENTED,OPEN
VUL-00458,OT-00530,HIGH,6.5,MEDIUM,YES,ALLOWLIST,MITIGATED
VUL-00459,OT-01567,MEDIUM,9.1,HIGH,UNKNOWN,ALLOWLIST,ACCEPTED
VUL-00460,OT-01146,MEDIUM,5.0,MEDIUM,NO,UNKNOWN,ACCEPTED
VUL-00461,OT-01991,MEDIUM,9.2,MEDIUM,UNKNOWN,ALLOWLIST,OPEN
VUL-00462,OT-01792,CRITICAL,6.6,LOW,YES,SEGMENTED,ACCEPTED
VUL-00463,OT-00911,CRITICAL,4.2,LOW,UNKNOWN,MONITORED,MITIGATED
VUL-00464,OT-01703,HIGH,7.9,HIGH,NO,ALLOWLIST,OPEN
VUL-00465,OT-01509,LOW,7.3,LOW,YES,MONITORED,OPEN
VUL-00466,OT-01852,HIGH,8.8,LOW,YES,MONITORED,OPEN
VUL-00467,OT-00167,CRITICAL,7.1,HIGH,UNKNOWN,UNKNOWN,MITIGATED
VUL-00468,OT-01372,MEDIUM,8.5,LOW,NO,NONE,ACCEPTED
VUL-00469,OT-01399,HIGH,8.0,MEDIUM,UNKNOWN,SEGMENTED,OPEN
VUL-00470,OT-00918,HIGH,8.7,MEDIUM,UNKNOWN,SEGMENTED,OPEN
VUL-00471,OT-01174,LOW,7.0,HIGH,NO,NONE,OPEN
VUL-00472,OT-00934,LOW,9.3,LOW,YES,UNKNOWN,OPEN
VUL-00473,OT-00664,CRITICAL,8.6,MEDIUM,NO,MONITORED,MITIGATED
VUL-00474,OT-00819,MEDIUM,4.3,HIGH,NO,SEGMENTED,OPEN
VUL-00475,OT-01140,MEDIUM,6.9,MEDIUM,YES,NONE,OPEN
VUL-00476,OT-01786,MEDIUM,9.6,LOW,NO,ALLOWLIST,OPEN
VUL-00477,OT-00584,CRITICAL,5.6,LOW,YES,SEGMENTED,OPEN
VUL-00478,OT-00762,HIGH,8.2,MEDIUM,NO,ALLOWLIST,OPEN
VUL-00479,OT-00617,CRITICAL,7.4,HIGH,NO,SEGMENTED,OPEN
VUL-00480,OT-01927,CRITICAL,6.0,LOW,YES,ALLOWLIST,MITIGATED
VUL-00481,OT-01406,LOW,7.7,MEDIUM,NO,UNKNOWN,OPEN
VUL-00482,OT-00341,HIGH,7.4,MEDIUM,YES,UNKNOWN,OPEN
VUL-00483,OT-00047,CRITICAL,8.3,HIGH,NO,NONE,MITIGATED
VUL-00484,OT-01766,MEDIUM,8.4,LOW,UNKNOWN,UNKNOWN,OPEN
VUL-00485,OT-00722,MEDIUM,5.8,HIGH,UNKNOWN,MONITORED,ACCEPTED
VUL-00486,OT-00551,LOW,8.5,HIGH,UNKNOWN,MONITORED,MITIGATED
VUL-00487,OT-00078,CRITICAL,6.5,LOW,YES,SEGMENTED,ACCEPTED
VUL-00488,OT-00525,CRITICAL,8.2,HIGH,YES,UNKNOWN,OPEN
VUL-00489,OT-00639,CRITICAL,6.6,LOW,UNKNOWN,ALLOWLIST,OPEN
VUL-00490,OT-01717,MEDIUM,6.2,LOW,NO,NONE,OPEN
VUL-00491,OT-00595,HIGH,5.3,LOW,YES,NONE,OPEN
VUL-00492,OT-00021,MEDIUM,5.4,HIGH,UNKNOWN,NONE,MITIGATED
VUL-00493,OT-00097,HIGH,9.7,LOW,UNKNOWN,MONITORED,MITIGATED
VUL-00494,OT-00637,HIGH,6.8,LOW,YES,SEGMENTED,MITIGATED
VUL-00495,OT-00159,HIGH,9.3,HIGH,UNKNOWN,ALLOWLIST,OPEN
VUL-00496,OT-00976,LOW,5.0,MEDIUM,UNKNOWN,NONE,OPEN
VUL-00497,OT-01358,HIGH,6.9,HIGH,NO,SEGMENTED,MITIGATED
VUL-00498,OT-01440,CRITICAL,6.6,MEDIUM,UNKNOWN,UNKNOWN,OPEN
VUL-00499,OT-01635,HIGH,5.0,MEDIUM,YES,UNKNOWN,OPEN
VUL-00500,OT-01287,CRITICAL,7.9,HIGH,UNKNOWN,UNKNOWN,OPEN
VUL-00501,OT-01765,CRITICAL,5.6,MEDIUM,NO,MONITORED,OPEN
VUL-00502,OT-00150,MEDIUM,4.1,MEDIUM,NO,NONE,OPEN
VUL-00503,OT-01869,CRITICAL,7.1,LOW,NO,SEGMENTED,ACCEPTED
VUL-00504,OT-01632,CRITICAL,5.3,HIGH,YES,UNKNOWN,OPEN
VUL-00505,OT-00626,CRITICAL,5.4,MEDIUM,NO,MONITORED,MITIGATED
VUL-00506,OT-00958,CRITICAL,6.9,MEDIUM,YES,SEGMENTED,OPEN
VUL-00507,OT-00494,MEDIUM,5.1,LOW,NO,SEGMENTED,OPEN
VUL-00508,OT-00825,MEDIUM,7.3,HIGH,UNKNOWN,NONE,OPEN
VUL-00509,OT-00228,LOW,4.1,LOW,NO,ALLOWLIST,OPEN
VUL-00510,OT-01839,MEDIUM,9.0,LOW,UNKNOWN,SEGMENTED,OPEN
VUL-00511,OT-00581,HIGH,4.2,MEDIUM,NO,MONITORED,ACCEPTED
VUL-00512,OT-01055,CRITICAL,9.4,LOW,NO,MONITORED,OPEN
VUL-00513,OT-01310,LOW,9.4,MEDIUM,YES,MONITORED,ACCEPTED
VUL-00514,OT-01652,HIGH,9.1,HIGH,NO,NONE,OPEN
VUL-00515,OT-01865,HIGH,9.2,HIGH,YES,UNKNOWN,OPEN
VUL-00516,OT-00539,MEDIUM,7.7,HIGH,UNKNOWN,MONITORED,OPEN
VUL-00517,OT-01364,HIGH,7.6,HIGH,UNKNOWN,UNKNOWN,OPEN
VUL-00518,OT-01493,MEDIUM,9.6,MEDIUM,YES,ALLOWLIST,OPEN
VUL-00519,OT-00527,LOW,7.6,LOW,YES,SEGMENTED,MITIGATED
VUL-00520,OT-00565,LOW,7.3,LOW,UNKNOWN,UNKNOWN,OPEN
VUL-00521,OT-01018,HIGH,8.2,HIGH,YES,SEGMENTED,OPEN
VUL-00522,OT-00514,CRITICAL,6.2,MEDIUM,YES,SEGMENTED,MITIGATED
VUL-00523,OT-01631,MEDIUM,8.7,LOW,YES,MONITORED,OPEN
VUL-00524,OT-01825,LOW,7.6,HIGH,UNKNOWN,NONE,OPEN
VUL-00525,OT-00473,CRITICAL,9.7,LOW,NO,SEGMENTED,OPEN
VUL-00526,OT-00363,LOW,6.9,MEDIUM,NO,NONE,OPEN
VUL-00527,OT-01443,CRITICAL,4.2,MEDIUM,YES,ALLOWLIST,OPEN
VUL-00528,OT-00694,MEDIUM,6.6,LOW,NO,MONITORED,MITIGATED
VUL-00529,OT-01733,HIGH,7.3,LOW,UNKNOWN,SEGMENTED,OPEN
VUL-00530,OT-01366,HIGH,8.6,HIGH,YES,SEGMENTED,OPEN
VUL-00531,OT-01264,CRITICAL,9.2,MEDIUM,NO,ALLOWLIST,ACCEPTED
VUL-00532,OT-01943,HIGH,5.8,MEDIUM,YES,NONE,OPEN
VUL-00533,OT-00005,MEDIUM,9.5,HIGH,YES,UNKNOWN,OPEN
VUL-00534,OT-01844,HIGH,6.1,HIGH,YES,NONE,OPEN
VUL-00535,OT-01581,HIGH,7.3,HIGH,YES,MONITORED,OPEN
VUL-00536,OT-00441,MEDIUM,8.5,HIGH,NO,ALLOWLIST,OPEN
VUL-00537,OT-01543,MEDIUM,9.9,HIGH,YES,MONITORED,OPEN
VUL-00538,OT-00538,CRITICAL,5.9,HIGH,YES,MONITORED,MITIGATED
VUL-00539,OT-01008,LOW,4.1,MEDIUM,UNKNOWN,NONE,OPEN
VUL-00540,OT-00362,LOW,6.8,HIGH,UNKNOWN,SEGMENTED,MITIGATED
VUL-00541,OT-01963,CRITICAL,7.1,HIGH,NO,ALLOWLIST,OPEN
VUL-00542,OT-01386,HIGH,9.3,LOW,YES,UNKNOWN,ACCEPTED
VUL-00543,OT-00772,MEDIUM,6.8,MEDIUM,YES,NONE,OPEN
VUL-00544,OT-01922,LOW,7.8,MEDIUM,NO,NONE,MITIGATED
VUL-00545,OT-00843,CRITICAL,7.7,MEDIUM,UNKNOWN,UNKNOWN,OPEN
VUL-00546,OT-00936,MEDIUM,9.7,HIGH,NO,UNKNOWN,OPEN
VUL-00547,OT-00172,MEDIUM,6.8,MEDIUM,UNKNOWN,ALLOWLIST,MITIGATED
VUL-00548,OT-00786,LOW,5.1,LOW,YES,NONE,ACCEPTED
VUL-00549,OT-00478,LOW,6.3,HIGH,YES,ALLOWLIST,OPEN
VUL-00550,OT-00498,HIGH,7.1,MEDIUM,NO,MONITORED,OPEN
VUL-00551,OT-00412,CRITICAL,9.3,LOW,YES,SEGMENTED,OPEN
VUL-00552,OT-01832,MEDIUM,7.4,MEDIUM,UNKNOWN,ALLOWLIST,ACCEPTED
VUL-00553,OT-00163,MEDIUM,5.7,LOW,UNKNOWN,UNKNOWN,MITIGATED
VUL-00554,OT-00564,CRITICAL,6.0,LOW,YES,UNKNOWN,MITIGATED
VUL-00555,OT-00430,LOW,7.7,HIGH,YES,SEGMENTED,OPEN
VUL-00556,OT-00374,LOW,4.5,HIGH,UNKNOWN,ALLOWLIST,OPEN
VUL-00557,OT-01737,HIGH,4.8,LOW,NO,ALLOWLIST,OPEN
VUL-00558,OT-02001,MEDIUM,4.3,LOW,UNKNOWN,SEGMENTED,OPEN
VUL-00559,OT-00223,MEDIUM,5.3,HIGH,UNKNOWN,ALLOWLIST,OPEN
VUL-00560,OT-00579,LOW,5.2,LOW,NO,MONITORED,OPEN
VUL-00561,OT-01932,HIGH,8.3,HIGH,YES,NONE,OPEN
VUL-00562,OT-01889,HIGH,7.3,MEDIUM,UNKNOWN,UNKNOWN,OPEN
VUL-00563,OT-01328,HIGH,4.0,LOW,NO,NONE,MITIGATED
VUL-00564,OT-01773,HIGH,8.1,MEDIUM,UNKNOWN,MONITORED,OPEN
VUL-00565,OT-01349,HIGH,8.6,LOW,NO,ALLOWLIST,OPEN
VUL-00566,OT-01964,MEDIUM,7.5,MEDIUM,NO,MONITORED,OPEN
VUL-00567,OT-00249,LOW,9.0,HIGH,YES,UNKNOWN,OPEN
VUL-00568,OT-00685,CRITICAL,4.6,LOW,NO,ALLOWLIST,OPEN
VUL-00569,OT-00242,CRITICAL,8.2,HIGH,YES,MONITORED,OPEN
VUL-00570,OT-00276,HIGH,8.7,MEDIUM,YES,ALLOWLIST,ACCEPTED
VUL-00571,OT-01103,LOW,4.3,LOW,NO,UNKNOWN,OPEN
VUL-00572,OT-00476,HIGH,7.8,HIGH,UNKNOWN,ALLOWLIST,OPEN
VUL-00573,OT-00742,LOW,5.3,LOW,NO,SEGMENTED,OPEN
VUL-00574,OT-01353,LOW,5.6,MEDIUM,YES,UNKNOWN,MITIGATED
VUL-00575,OT-01798,MEDIUM,9.2,MEDIUM,NO,ALLOWLIST,OPEN
VUL-00576,OT-01229,MEDIUM,6.3,LOW,YES,ALLOWLIST,OPEN
VUL-00577,OT-00426,LOW,7.8,HIGH,YES,UNKNOWN,OPEN
VUL-00578,OT-01000,MEDIUM,7.2,LOW,UNKNOWN,UNKNOWN,OPEN
VUL-00579,OT-00027,CRITICAL,9.1,LOW,UNKNOWN,MONITORED,ACCEPTED
VUL-00580,OT-00373,CRITICAL,9.0,LOW,NO,UNKNOWN,ACCEPTED
VUL-00581,OT-01223,MEDIUM,8.2,LOW,NO,ALLOWLIST,MITIGATED
VUL-00582,OT-00224,MEDIUM,5.1,HIGH,YES,UNKNOWN,OPEN
VUL-00583,OT-01829,LOW,9.4,LOW,YES,UNKNOWN,OPEN
VUL-00584,OT-01706,LOW,5.8,HIGH,YES,SEGMENTED,ACCEPTED
VUL-00585,OT-01382,MEDIUM,5.4,HIGH,UNKNOWN,UNKNOWN,OPEN
VUL-00586,OT-00470,HIGH,6.6,MEDIUM,NO,UNKNOWN,OPEN
VUL-00587,OT-01796,HIGH,4.5,HIGH,NO,UNKNOWN,OPEN
VUL-00588,OT-00229,LOW,7.9,HIGH,NO,NONE,OPEN
VUL-00589,OT-01745,CRITICAL,4.6,MEDIUM,NO,ALLOWLIST,OPEN
VUL-00590,OT-01080,CRITICAL,4.2,MEDIUM,UNKNOWN,NONE,OPEN
VUL-00591,OT-01936,MEDIUM,7.1,HIGH,UNKNOWN,MONITORED,OPEN
VUL-00592,OT-00592,CRITICAL,8.0,MEDIUM,NO,UNKNOWN,OPEN
VUL-00593,OT-01302,HIGH,4.3,LOW,NO,ALLOWLIST,OPEN
VUL-00594,OT-00134,HIGH,5.1,MEDIUM,YES,ALLOWLIST,OPEN
VUL-00595,OT-00185,MEDIUM,4.9,MEDIUM,NO,UNKNOWN,OPEN
VUL-00596,OT-01449,LOW,4.5,LOW,UNKNOWN,SEGMENTED,OPEN
VUL-00597,OT-01234,HIGH,6.3,LOW,NO,UNKNOWN,ACCEPTED
VUL-00598,OT-01861,HIGH,9.5,LOW,UNKNOWN,NONE,ACCEPTED
VUL-00599,OT-01851,MEDIUM,5.3,LOW,YES,UNKNOWN,OPEN
VUL-00600,OT-01938,HIGH,5.4,MEDIUM,YES,MONITORED,OPEN
VUL-00601,OT-00747,LOW,7.0,MEDIUM,UNKNOWN,MONITORED,MITIGATED
VUL-00602,OT-01639,LOW,5.7,MEDIUM,YES,SEGMENTED,OPEN
VUL-00603,OT-01439,HIGH,7.2,LOW,NO,UNKNOWN,OPEN
VUL-00604,OT-01271,LOW,6.5,HIGH,YES,SEGMENTED,OPEN
VUL-00605,OT-00524,LOW,5.8,LOW,YES,ALLOWLIST,OPEN
VUL-00606,OT-00550,HIGH,6.4,MEDIUM,NO,UNKNOWN,OPEN
VUL-00607,OT-01684,MEDIUM,6.7,LOW,NO,UNKNOWN,ACCEPTED
VUL-00608,OT-01160,MEDIUM,6.2,HIGH,UNKNOWN,SEGMENTED,ACCEPTED
VUL-00609,OT-00619,HIGH,8.3,MEDIUM,NO,ALLOWLIST,OPEN
VUL-00610,OT-01093,HIGH,5.2,HIGH,NO,UNKNOWN,MITIGATED
VUL-00611,OT-00503,CRITICAL,5.7,HIGH,NO,NONE,OPEN
VUL-00612,OT-01898,LOW,5.9,MEDIUM,UNKNOWN,MONITORED,OPEN
VUL-00613,OT-01352,HIGH,7.5,MEDIUM,UNKNOWN,NONE,OPEN
VUL-00614,OT-01313,HIGH,5.0,LOW,NO,SEGMENTED,ACCEPTED
VUL-00615,OT-01097,MEDIUM,8.5,MEDIUM,NO,SEGMENTED,OPEN
