work_order_id,asset_id,plant_id,type,cmms_status,field_status,opened_at,closed_at,temporary_bypass,notes
WO-000195,OT-00396,PLT-04,CM,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-05T22:00:00,2026-09-08T22:00:00,NO,awaiting vendor
WO-000196,OT-01853,PLT-17,EMERGENCY,OPEN,RETURNED_TO_SERVICE,2026-09-23T00:00:00,2026-09-24T15:00:00,NO,operator workaround active
WO-000197,OT-00847,PLT-08,INSPECTION,CLOSED,ACTIVE,2026-10-04T14:00:00,2026-10-07T13:00:00,NO,documentation pending
WO-000198,OT-00297,PLT-03,CALIBRATION,IN_PROGRESS,OUT_OF_SERVICE,2026-09-13T04:00:00,,NO,operator workaround active
WO-000199,OT-01470,PLT-14,EMERGENCY,OPEN,OUT_OF_SERVICE,2026-10-07T09:00:00,2026-10-08T20:00:00,NO,standard work
WO-000200,OT-01931,PLT-18,PM,CLOSED,RETURNED_TO_SERVICE,2026-09-18T00:00:00,2026-09-20T15:00:00,YES,standard work
WO-000201,OT-00098,PLT-01,CALIBRATION,IN_PROGRESS,ACTIVE,2026-09-19T00:00:00,2026-09-21T15:00:00,NO,standard work
WO-000202,OT-00446,PLT-05,EMERGENCY,IN_PROGRESS,ACTIVE,2026-10-09T00:00:00,,NO,operator workaround active
WO-000203,OT-00574,PLT-06,CM,CLOSED,ACTIVE,2026-09-19T02:00:00,2026-09-19T21:00:00,NO,awaiting vendor
WO-000204,OT-00207,PLT-02,PM,CLOSED,OUT_OF_SERVICE,2026-09-14T10:00:00,2026-09-15T22:00:00,NO,awaiting vendor
WO-000205,OT-00193,PLT-02,CM,OPEN,RETURNED_TO_SERVICE,2026-09-30T19:00:00,,NO,parts substituted
WO-000206,OT-00358,PLT-04,CALIBRATION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-12T11:00:00,2026-09-14T10:00:00,NO,operator workaround active
WO-000207,OT-01925,PLT-18,CM,DEFERRED,RETURNED_TO_SERVICE,2026-10-05T01:00:00,,NO,awaiting vendor
WO-000208,OT-00407,PLT-04,INSPECTION,IN_PROGRESS,OUT_OF_SERVICE,2026-09-30T23:00:00,,NO,parts substituted
WO-000209,OT-00124,PLT-02,PM,IN_PROGRESS,OUT_OF_SERVICE,2026-10-05T21:00:00,2026-10-07T07:00:00,NO,awaiting vendor
WO-000210,OT-00064,PLT-01,EMERGENCY,DEFERRED,ACTIVE,2026-09-20T22:00:00,2026-09-22T07:00:00,NO,parts substituted
WO-000211,OT-01643,PLT-15,INSPECTION,IN_PROGRESS,ACTIVE,2026-09-14T18:00:00,,NO,documentation pending
WO-000212,OT-00095,PLT-01,EMERGENCY,CLOSED,OUT_OF_SERVICE,2026-09-24T01:00:00,2026-09-25T20:00:00,NO,parts substituted
WO-000213,OT-00285,PLT-03,CM,CLOSED,ACTIVE,2026-09-17T20:00:00,,NO,standard work
WO-000214,OT-01437,PLT-14,INSPECTION,OPEN,DEGRADED,2026-09-29T23:00:00,2026-09-30T22:00:00,NO,operator workaround active
WO-000215,OT-01734,PLT-16,INSPECTION,DEFERRED,ACTIVE,2026-09-10T14:00:00,2026-09-12T18:00:00,NO,documentation pending
WO-000216,OT-00814,PLT-08,INSPECTION,OPEN,DEGRADED,2026-09-11T06:00:00,2026-09-12T20:00:00,NO,standard work
WO-000217,OT-00291,PLT-03,CALIBRATION,OPEN,RETURNED_TO_SERVICE,2026-10-11T00:00:00,,NO,documentation pending
WO-000218,OT-00222,PLT-03,CALIBRATION,CLOSED,OUT_OF_SERVICE,2026-10-05T13:00:00,,NO,operator workaround active
WO-000219,OT-00114,PLT-02,CM,DEFERRED,OUT_OF_SERVICE,2026-09-21T14:00:00,2026-09-24T07:00:00,NO,operator workaround active
WO-000220,OT-00406,PLT-04,EMERGENCY,OPEN,DEGRADED,2026-10-09T17:00:00,,NO,standard work
WO-000221,OT-01518,PLT-14,INSPECTION,DEFERRED,ACTIVE,2026-10-03T21:00:00,,NO,awaiting vendor
WO-000222,OT-00095,PLT-01,INSPECTION,OPEN,ACTIVE,2026-09-23T03:00:00,,NO,awaiting vendor
WO-000223,OT-00711,PLT-07,PM,OPEN,ACTIVE,2026-09-08T19:00:00,,NO,awaiting vendor
WO-000224,OT-01244,PLT-12,CALIBRATION,IN_PROGRESS,ACTIVE,2026-09-15T11:00:00,2026-09-15T15:00:00,NO,parts substituted
WO-000225,OT-00602,PLT-06,INSPECTION,CLOSED,ACTIVE,2026-10-06T18:00:00,2026-10-07T19:00:00,NO,operator workaround active
WO-000226,OT-01040,PLT-10,INSPECTION,IN_PROGRESS,ACTIVE,2026-09-12T08:00:00,2026-09-13T11:00:00,NO,parts substituted
WO-000227,OT-00551,PLT-06,CALIBRATION,OPEN,ACTIVE,2026-09-26T08:00:00,2026-09-28T18:00:00,NO,awaiting vendor
WO-000228,OT-01866,PLT-17,INSPECTION,IN_PROGRESS,OUT_OF_SERVICE,2026-10-03T01:00:00,2026-10-03T06:00:00,NO,standard work
WO-000229,OT-00434,PLT-05,EMERGENCY,DEFERRED,ACTIVE,2026-09-16T04:00:00,,NO,operator workaround active
WO-000230,OT-00683,PLT-07,EMERGENCY,DEFERRED,OUT_OF_SERVICE,2026-09-30T06:00:00,,NO,parts substituted
WO-000231,OT-01278,PLT-12,INSPECTION,DEFERRED,DEGRADED,2026-09-05T14:00:00,2026-09-05T17:00:00,NO,documentation pending
WO-000232,OT-01176,PLT-11,PM,IN_PROGRESS,DEGRADED,2026-09-26T13:00:00,2026-09-29T07:00:00,NO,parts substituted
WO-000233,OT-00685,PLT-07,INSPECTION,OPEN,DEGRADED,2026-10-01T02:00:00,2026-10-03T03:00:00,NO,standard work
WO-000234,OT-00837,PLT-08,EMERGENCY,OPEN,ACTIVE,2026-09-03T21:00:00,2026-09-05T18:00:00,NO,parts substituted
WO-000235,OT-01670,PLT-16,EMERGENCY,OPEN,RETURNED_TO_SERVICE,2026-09-27T18:00:00,2026-09-29T04:00:00,NO,documentation pending
WO-000236,OT-01313,PLT-13,CALIBRATION,OPEN,OUT_OF_SERVICE,2026-09-30T21:00:00,,NO,parts substituted
WO-000237,OT-00902,PLT-09,CALIBRATION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-12T12:00:00,2026-09-12T19:00:00,NO,documentation pending
WO-000238,OT-00100,PLT-01,CM,IN_PROGRESS,OUT_OF_SERVICE,2026-09-14T07:00:00,,NO,operator workaround active
WO-000239,OT-01159,PLT-11,EMERGENCY,OPEN,ACTIVE,2026-09-30T04:00:00,2026-10-02T08:00:00,NO,standard work
WO-000240,OT-01647,PLT-15,INSPECTION,OPEN,OUT_OF_SERVICE,2026-10-06T13:00:00,,NO,parts substituted
WO-000241,OT-01279,PLT-12,INSPECTION,DEFERRED,ACTIVE,2026-10-10T12:00:00,,NO,awaiting vendor
WO-000242,OT-01464,PLT-14,PM,DEFERRED,ACTIVE,2026-09-06T14:00:00,,NO,standard work
WO-000243,OT-00579,PLT-06,CM,OPEN,OUT_OF_SERVICE,2026-09-11T15:00:00,2026-09-12T18:00:00,NO,operator workaround active
WO-000244,OT-00296,PLT-03,INSPECTION,CLOSED,ACTIVE,2026-10-06T00:00:00,2026-10-06T18:00:00,NO,documentation pending
WO-000245,OT-00654,PLT-07,INSPECTION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-10T01:00:00,,NO,documentation pending
WO-000246,OT-00307,PLT-03,PM,DEFERRED,OUT_OF_SERVICE,2026-09-10T04:00:00,2026-09-11T20:00:00,NO,parts substituted
WO-000247,OT-00390,PLT-04,INSPECTION,CLOSED,DEGRADED,2026-09-24T14:00:00,2026-09-25T10:00:00,NO,parts substituted
WO-000248,OT-00219,PLT-03,CM,DEFERRED,ACTIVE,2026-10-01T08:00:00,2026-10-04T07:00:00,NO,documentation pending
WO-000249,OT-01803,PLT-17,EMERGENCY,DEFERRED,DEGRADED,2026-10-03T01:00:00,,NO,awaiting vendor
WO-000250,OT-00532,PLT-05,EMERGENCY,CLOSED,ACTIVE,2026-09-04T09:00:00,2026-09-06T12:00:00,NO,documentation pending
WO-000251,OT-00256,PLT-03,CALIBRATION,CLOSED,OUT_OF_SERVICE,2026-09-14T02:00:00,,NO,operator workaround active
WO-000252,OT-01213,PLT-12,CM,OPEN,ACTIVE,2026-09-24T14:00:00,,NO,documentation pending
WO-000253,OT-00010,PLT-01,PM,CLOSED,OUT_OF_SERVICE,2026-09-02T21:00:00,2026-09-03T08:00:00,NO,operator workaround active
WO-000254,OT-00159,PLT-02,EMERGENCY,DEFERRED,DEGRADED,2026-09-28T14:00:00,2026-09-29T15:00:00,NO,operator workaround active
WO-000255,OT-00151,PLT-02,EMERGENCY,DEFERRED,DEGRADED,2026-09-18T05:00:00,2026-09-19T20:00:00,NO,parts substituted
WO-000256,OT-01362,PLT-13,CM,OPEN,DEGRADED,2026-10-08T06:00:00,,NO,parts substituted
WO-000257,OT-01697,PLT-16,CM,IN_PROGRESS,DEGRADED,2026-09-01T17:00:00,,NO,standard work
WO-000258,OT-00597,PLT-06,PM,OPEN,ACTIVE,2026-09-12T23:00:00,,NO,standard work
WO-000259,OT-00782,PLT-08,CALIBRATION,DEFERRED,OUT_OF_SERVICE,2026-10-06T17:00:00,,YES,documentation pending
WO-000260,OT-01756,PLT-16,EMERGENCY,OPEN,OUT_OF_SERVICE,2026-10-06T01:00:00,,NO,parts substituted
WO-000261,OT-00223,PLT-03,PM,DEFERRED,OUT_OF_SERVICE,2026-09-11T08:00:00,2026-09-12T21:00:00,NO,documentation pending
WO-000262,OT-00321,PLT-03,CM,CLOSED,ACTIVE,2026-09-17T02:00:00,2026-09-18T07:00:00,NO,parts substituted
WO-000263,OT-00704,PLT-07,INSPECTION,DEFERRED,RETURNED_TO_SERVICE,2026-09-04T07:00:00,2026-09-07T01:00:00,NO,documentation pending
WO-000264,OT-01959,PLT-18,CALIBRATION,OPEN,DEGRADED,2026-09-27T01:00:00,2026-09-29T06:00:00,NO,parts substituted
WO-000265,OT-00894,PLT-09,PM,DEFERRED,ACTIVE,2026-09-07T06:00:00,,NO,awaiting vendor
WO-000266,OT-00635,PLT-06,INSPECTION,CLOSED,RETURNED_TO_SERVICE,2026-09-14T06:00:00,2026-09-14T19:00:00,NO,awaiting vendor
WO-000267,OT-00648,PLT-07,CALIBRATION,DEFERRED,ACTIVE,2026-10-05T01:00:00,2026-10-05T02:00:00,NO,parts substituted
WO-000268,OT-00740,PLT-07,CM,CLOSED,ACTIVE,2026-09-28T21:00:00,,YES,parts substituted
WO-000269,OT-01203,PLT-11,INSPECTION,IN_PROGRESS,DEGRADED,2026-09-11T20:00:00,,NO,parts substituted
WO-000270,OT-01481,PLT-14,CALIBRATION,OPEN,RETURNED_TO_SERVICE,2026-10-10T03:00:00,,NO,parts substituted
WO-000271,OT-01104,PLT-11,EMERGENCY,CLOSED,OUT_OF_SERVICE,2026-09-26T11:00:00,,NO,parts substituted
WO-000272,OT-00666,PLT-07,CALIBRATION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-16T04:00:00,,NO,operator workaround active
WO-000273,OT-00844,PLT-08,EMERGENCY,OPEN,OUT_OF_SERVICE,2026-09-17T04:00:00,,YES,awaiting vendor
WO-000274,OT-01802,PLT-17,CALIBRATION,IN_PROGRESS,DEGRADED,2026-09-29T11:00:00,,NO,documentation pending
WO-000275,OT-00905,PLT-09,PM,CLOSED,ACTIVE,2026-10-10T08:00:00,,NO,operator workaround active
WO-000276,OT-00452,PLT-05,INSPECTION,IN_PROGRESS,ACTIVE,2026-09-07T12:00:00,,NO,documentation pending
WO-000277,OT-01705,PLT-16,EMERGENCY,CLOSED,ACTIVE,2026-09-10T01:00:00,2026-09-10T20:00:00,NO,standard work
WO-000278,OT-01685,PLT-16,INSPECTION,OPEN,DEGRADED,2026-09-10T11:00:00,,NO,awaiting vendor
WO-000279,OT-01964,PLT-18,PM,CLOSED,RETURNED_TO_SERVICE,2026-09-23T11:00:00,,NO,documentation pending
WO-000280,OT-00914,PLT-09,PM,OPEN,ACTIVE,2026-09-01T03:00:00,,NO,standard work
WO-000281,OT-01518,PLT-14,INSPECTION,DEFERRED,DEGRADED,2026-09-19T12:00:00,2026-09-19T19:00:00,YES,documentation pending
WO-000282,OT-00354,PLT-04,PM,CLOSED,RETURNED_TO_SERVICE,2026-09-18T05:00:00,,YES,documentation pending
WO-000283,OT-00707,PLT-07,EMERGENCY,IN_PROGRESS,ACTIVE,2026-09-12T10:00:00,2026-09-14T06:00:00,NO,parts substituted
WO-000284,OT-00759,PLT-08,INSPECTION,OPEN,DEGRADED,2026-09-30T05:00:00,,NO,standard work
WO-000285,OT-00323,PLT-04,CALIBRATION,IN_PROGRESS,ACTIVE,2026-10-05T21:00:00,,NO,parts substituted
WO-000286,OT-00543,PLT-06,INSPECTION,OPEN,OUT_OF_SERVICE,2026-09-08T18:00:00,,NO,documentation pending
WO-000287,OT-01317,PLT-13,INSPECTION,DEFERRED,ACTIVE,2026-10-07T07:00:00,2026-10-08T02:00:00,YES,standard work
WO-000288,OT-00677,PLT-07,CALIBRATION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-09T10:00:00,2026-09-09T12:00:00,NO,parts substituted
WO-000289,OT-01262,PLT-12,PM,CLOSED,RETURNED_TO_SERVICE,2026-09-18T05:00:00,,NO,documentation pending
WO-000290,OT-01021,PLT-10,CM,DEFERRED,DEGRADED,2026-10-02T16:00:00,2026-10-04T21:00:00,YES,operator workaround active
WO-000291,OT-00348,PLT-04,PM,IN_PROGRESS,OUT_OF_SERVICE,2026-09-29T12:00:00,2026-10-01T22:00:00,NO,standard work
WO-000292,OT-01212,PLT-12,CM,CLOSED,DEGRADED,2026-09-22T22:00:00,2026-09-25T09:00:00,NO,documentation pending
WO-000293,OT-00307,PLT-03,EMERGENCY,DEFERRED,DEGRADED,2026-09-16T15:00:00,,NO,operator workaround active
WO-000294,OT-00879,PLT-08,PM,DEFERRED,ACTIVE,2026-10-07T18:00:00,2026-10-08T02:00:00,NO,standard work
WO-000295,OT-00418,PLT-04,EMERGENCY,DEFERRED,OUT_OF_SERVICE,2026-10-06T05:00:00,2026-10-08T17:00:00,NO,documentation pending
WO-000296,OT-00363,PLT-04,CALIBRATION,OPEN,RETURNED_TO_SERVICE,2026-09-24T14:00:00,2026-09-27T02:00:00,NO,awaiting vendor
WO-000297,OT-01527,PLT-14,PM,CLOSED,RETURNED_TO_SERVICE,2026-09-15T04:00:00,2026-09-16T17:00:00,NO,operator workaround active
WO-000298,OT-00972,PLT-09,CM,IN_PROGRESS,OUT_OF_SERVICE,2026-10-06T10:00:00,,NO,parts substituted
WO-000299,OT-00294,PLT-03,CALIBRATION,OPEN,OUT_OF_SERVICE,2026-10-01T20:00:00,2026-10-03T09:00:00,NO,parts substituted
WO-000300,OT-00280,PLT-03,CM,OPEN,ACTIVE,2026-10-01T05:00:00,2026-10-04T02:00:00,NO,operator workaround active
WO-000301,OT-01243,PLT-12,INSPECTION,OPEN,RETURNED_TO_SERVICE,2026-09-26T17:00:00,2026-09-26T20:00:00,NO,standard work
WO-000302,OT-00840,PLT-08,CALIBRATION,OPEN,DEGRADED,2026-10-05T20:00:00,,NO,standard work
WO-000303,OT-00466,PLT-05,PM,DEFERRED,OUT_OF_SERVICE,2026-09-08T18:00:00,,NO,standard work
WO-000304,OT-00422,PLT-04,PM,IN_PROGRESS,OUT_OF_SERVICE,2026-10-01T01:00:00,2026-10-02T16:00:00,NO,standard work
WO-000305,OT-01479,PLT-14,CALIBRATION,OPEN,OUT_OF_SERVICE,2026-09-01T05:00:00,2026-09-03T20:00:00,NO,operator workaround active
WO-000306,OT-00883,PLT-09,CM,IN_PROGRESS,OUT_OF_SERVICE,2026-09-15T18:00:00,,NO,operator workaround active
WO-000307,OT-01948,PLT-18,CM,DEFERRED,RETURNED_TO_SERVICE,2026-09-08T12:00:00,2026-09-09T04:00:00,YES,standard work
WO-000308,OT-01970,PLT-18,CM,CLOSED,OUT_OF_SERVICE,2026-09-27T21:00:00,2026-09-30T00:00:00,NO,standard work
WO-000309,OT-00577,PLT-06,CM,OPEN,ACTIVE,2026-09-10T15:00:00,2026-09-10T21:00:00,NO,standard work
WO-000310,OT-00144,PLT-02,CALIBRATION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-26T19:00:00,2026-09-29T00:00:00,NO,awaiting vendor
WO-000311,OT-00228,PLT-03,PM,CLOSED,RETURNED_TO_SERVICE,2026-09-11T00:00:00,,NO,standard work
WO-000312,OT-00399,PLT-04,INSPECTION,DEFERRED,DEGRADED,2026-09-17T16:00:00,2026-09-19T15:00:00,NO,standard work
WO-000313,OT-00760,PLT-08,EMERGENCY,IN_PROGRESS,OUT_OF_SERVICE,2026-10-04T11:00:00,2026-10-04T16:00:00,NO,parts substituted
WO-000314,OT-00720,PLT-07,CM,CLOSED,ACTIVE,2026-10-05T11:00:00,2026-10-07T03:00:00,NO,operator workaround active
WO-000315,OT-00505,PLT-05,CALIBRATION,CLOSED,RETURNED_TO_SERVICE,2026-09-20T12:00:00,2026-09-21T01:00:00,YES,documentation pending
WO-000316,OT-01235,PLT-12,CM,OPEN,OUT_OF_SERVICE,2026-09-30T09:00:00,,YES,parts substituted
WO-000317,OT-00771,PLT-08,PM,IN_PROGRESS,DEGRADED,2026-09-06T03:00:00,2026-09-08T05:00:00,NO,awaiting vendor
WO-000318,OT-00882,PLT-09,EMERGENCY,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-15T10:00:00,,NO,standard work
WO-000319,OT-00044,PLT-01,INSPECTION,CLOSED,ACTIVE,2026-09-23T17:00:00,2026-09-26T07:00:00,NO,awaiting vendor
WO-000320,OT-01385,PLT-13,EMERGENCY,OPEN,RETURNED_TO_SERVICE,2026-09-27T21:00:00,2026-09-28T19:00:00,NO,documentation pending
WO-000321,OT-00189,PLT-02,PM,OPEN,DEGRADED,2026-09-27T19:00:00,,NO,standard work
WO-000322,OT-00339,PLT-04,INSPECTION,CLOSED,ACTIVE,2026-09-03T21:00:00,,NO,operator workaround active
WO-000323,OT-01280,PLT-12,CALIBRATION,OPEN,DEGRADED,2026-09-26T18:00:00,2026-09-28T22:00:00,NO,parts substituted
WO-000324,OT-01908,PLT-18,CALIBRATION,CLOSED,OUT_OF_SERVICE,2026-09-21T19:00:00,,NO,documentation pending
WO-000325,OT-00473,PLT-05,PM,IN_PROGRESS,OUT_OF_SERVICE,2026-10-06T02:00:00,2026-10-08T19:00:00,NO,operator workaround active
WO-000326,OT-00790,PLT-08,PM,CLOSED,DEGRADED,2026-09-01T10:00:00,2026-09-02T21:00:00,NO,awaiting vendor
WO-000327,OT-00546,PLT-06,CALIBRATION,DEFERRED,DEGRADED,2026-09-26T06:00:00,,NO,parts substituted
WO-000328,OT-00481,PLT-05,INSPECTION,DEFERRED,ACTIVE,2026-09-17T05:00:00,2026-09-18T03:00:00,NO,standard work
WO-000329,OT-01005,PLT-10,CM,CLOSED,ACTIVE,2026-09-06T11:00:00,,NO,documentation pending
WO-000330,OT-01473,PLT-14,CM,CLOSED,DEGRADED,2026-09-01T21:00:00,2026-09-04T08:00:00,NO,operator workaround active
WO-000331,OT-00495,PLT-05,INSPECTION,IN_PROGRESS,OUT_OF_SERVICE,2026-09-08T18:00:00,,YES,standard work
WO-000332,OT-01552,PLT-14,CALIBRATION,CLOSED,RETURNED_TO_SERVICE,2026-09-13T17:00:00,2026-09-13T19:00:00,NO,awaiting vendor
WO-000333,OT-00478,PLT-05,CALIBRATION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-07T11:00:00,2026-09-10T06:00:00,NO,documentation pending
WO-000334,OT-01740,PLT-16,CALIBRATION,DEFERRED,OUT_OF_SERVICE,2026-10-01T14:00:00,2026-10-02T12:00:00,NO,documentation pending
WO-000335,OT-00655,PLT-07,PM,CLOSED,ACTIVE,2026-10-10T03:00:00,2026-10-12T04:00:00,NO,standard work
WO-000336,OT-00706,PLT-07,CALIBRATION,IN_PROGRESS,ACTIVE,2026-10-03T18:00:00,,NO,awaiting vendor
WO-000337,OT-00726,PLT-07,INSPECTION,DEFERRED,DEGRADED,2026-09-08T07:00:00,,NO,operator workaround active
WO-000338,OT-00771,PLT-08,EMERGENCY,IN_PROGRESS,ACTIVE,2026-09-25T10:00:00,,NO,parts substituted
WO-000339,OT-01635,PLT-15,CM,DEFERRED,RETURNED_TO_SERVICE,2026-09-06T00:00:00,2026-09-06T16:00:00,NO,parts substituted
WO-000340,OT-01940,PLT-18,CALIBRATION,OPEN,DEGRADED,2026-10-04T04:00:00,,YES,standard work
WO-000341,OT-01114,PLT-11,INSPECTION,OPEN,DEGRADED,2026-09-25T05:00:00,2026-09-26T01:00:00,NO,standard work
WO-000342,OT-01601,PLT-15,PM,CLOSED,RETURNED_TO_SERVICE,2026-10-06T15:00:00,2026-10-08T04:00:00,YES,standard work
WO-000343,OT-00607,PLT-06,INSPECTION,DEFERRED,OUT_OF_SERVICE,2026-09-14T05:00:00,,NO,operator workaround active
WO-000344,OT-00237,PLT-03,CM,IN_PROGRESS,DEGRADED,2026-10-03T14:00:00,2026-10-04T16:00:00,NO,awaiting vendor
WO-000345,OT-01016,PLT-10,CALIBRATION,IN_PROGRESS,ACTIVE,2026-10-09T06:00:00,,NO,operator workaround active
WO-000346,OT-00803,PLT-08,CALIBRATION,DEFERRED,RETURNED_TO_SERVICE,2026-09-01T15:00:00,,NO,operator workaround active
WO-000347,OT-00467,PLT-05,EMERGENCY,OPEN,ACTIVE,2026-09-26T02:00:00,,NO,parts substituted
WO-000348,OT-00238,PLT-03,PM,IN_PROGRESS,DEGRADED,2026-09-08T18:00:00,,NO,documentation pending
WO-000349,OT-00671,PLT-07,INSPECTION,OPEN,OUT_OF_SERVICE,2026-09-11T06:00:00,2026-09-13T16:00:00,NO,standard work
WO-000350,OT-00397,PLT-04,CM,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-06T15:00:00,2026-09-06T22:00:00,NO,standard work
WO-000351,OT-00282,PLT-03,PM,CLOSED,ACTIVE,2026-10-02T17:00:00,2026-10-05T09:00:00,NO,operator workaround active
WO-000352,OT-01750,PLT-16,INSPECTION,DEFERRED,RETURNED_TO_SERVICE,2026-09-30T08:00:00,,NO,parts substituted
WO-000353,OT-00225,PLT-03,PM,OPEN,RETURNED_TO_SERVICE,2026-10-10T14:00:00,,YES,operator workaround active
WO-000354,OT-01751,PLT-16,PM,IN_PROGRESS,ACTIVE,2026-10-02T18:00:00,,NO,awaiting vendor
WO-000355,OT-01573,PLT-15,INSPECTION,DEFERRED,OUT_OF_SERVICE,2026-09-20T09:00:00,,YES,parts substituted
WO-000356,OT-00573,PLT-06,INSPECTION,CLOSED,DEGRADED,2026-09-16T17:00:00,,NO,documentation pending
WO-000357,OT-01454,PLT-14,INSPECTION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-09T03:00:00,,NO,parts substituted
WO-000358,OT-00949,PLT-09,EMERGENCY,DEFERRED,RETURNED_TO_SERVICE,2026-09-16T03:00:00,,NO,documentation pending
WO-000359,OT-00019,PLT-01,EMERGENCY,OPEN,OUT_OF_SERVICE,2026-10-07T12:00:00,,NO,operator workaround active
WO-000360,OT-01925,PLT-18,CM,CLOSED,RETURNED_TO_SERVICE,2026-09-05T09:00:00,2026-09-07T03:00:00,NO,standard work
WO-000361,OT-00969,PLT-09,EMERGENCY,OPEN,OUT_OF_SERVICE,2026-09-02T09:00:00,2026-09-03T04:00:00,NO,awaiting vendor
WO-000362,OT-01427,PLT-14,EMERGENCY,CLOSED,RETURNED_TO_SERVICE,2026-10-03T14:00:00,,NO,awaiting vendor
WO-000363,OT-01508,PLT-14,PM,OPEN,RETURNED_TO_SERVICE,2026-10-10T04:00:00,2026-10-13T04:00:00,YES,documentation pending
WO-000364,OT-01642,PLT-15,INSPECTION,IN_PROGRESS,DEGRADED,2026-10-03T01:00:00,,NO,awaiting vendor
WO-000365,OT-00928,PLT-09,EMERGENCY,CLOSED,OUT_OF_SERVICE,2026-09-17T01:00:00,2026-09-18T22:00:00,NO,awaiting vendor
WO-000366,OT-01318,PLT-13,CM,CLOSED,RETURNED_TO_SERVICE,2026-09-13T17:00:00,2026-09-14T01:00:00,NO,operator workaround active
WO-000367,OT-00269,PLT-03,PM,DEFERRED,ACTIVE,2026-09-30T22:00:00,2026-10-01T19:00:00,YES,operator workaround active
WO-000368,OT-00026,PLT-01,PM,IN_PROGRESS,OUT_OF_SERVICE,2026-09-03T12:00:00,2026-09-06T06:00:00,NO,awaiting vendor
WO-000369,OT-01221,PLT-12,PM,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-14T18:00:00,,NO,documentation pending
WO-000370,OT-01396,PLT-13,INSPECTION,IN_PROGRESS,ACTIVE,2026-09-12T20:00:00,2026-09-13T15:00:00,NO,operator workaround active
WO-000371,OT-01095,PLT-10,INSPECTION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-27T17:00:00,2026-09-30T10:00:00,YES,parts substituted
WO-000372,OT-01791,PLT-17,PM,OPEN,RETURNED_TO_SERVICE,2026-09-11T22:00:00,,NO,operator workaround active
WO-000373,OT-00635,PLT-06,PM,IN_PROGRESS,DEGRADED,2026-09-24T07:00:00,,NO,operator workaround active
WO-000374,OT-01591,PLT-15,INSPECTION,CLOSED,RETURNED_TO_SERVICE,2026-10-05T14:00:00,,NO,awaiting vendor
WO-000375,OT-01216,PLT-12,CALIBRATION,CLOSED,OUT_OF_SERVICE,2026-09-06T23:00:00,2026-09-07T11:00:00,YES,awaiting vendor
WO-000376,OT-00244,PLT-03,EMERGENCY,DEFERRED,ACTIVE,2026-09-28T02:00:00,,NO,parts substituted
WO-000377,OT-01918,PLT-18,CALIBRATION,OPEN,ACTIVE,2026-09-19T13:00:00,,NO,operator workaround active
WO-000378,OT-00307,PLT-03,CM,OPEN,ACTIVE,2026-09-20T07:00:00,2026-09-20T14:00:00,NO,standard work
WO-000379,OT-00007,PLT-01,CM,OPEN,ACTIVE,2026-09-01T02:00:00,2026-09-03T07:00:00,NO,operator workaround active
WO-000380,OT-00710,PLT-07,EMERGENCY,DEFERRED,RETURNED_TO_SERVICE,2026-09-25T03:00:00,2026-09-27T07:00:00,NO,awaiting vendor
WO-000381,OT-00048,PLT-01,EMERGENCY,CLOSED,DEGRADED,2026-10-10T06:00:00,,NO,awaiting vendor
WO-000382,OT-00109,PLT-02,CM,CLOSED,DEGRADED,2026-09-17T15:00:00,2026-09-20T09:00:00,NO,parts substituted
WO-000383,OT-01868,PLT-17,PM,IN_PROGRESS,DEGRADED,2026-10-05T20:00:00,2026-10-07T12:00:00,NO,parts substituted
WO-000384,OT-01885,PLT-17,CALIBRATION,IN_PROGRESS,DEGRADED,2026-09-23T16:00:00,,NO,parts substituted
WO-000385,OT-01246,PLT-12,CALIBRATION,CLOSED,RETURNED_TO_SERVICE,2026-10-04T19:00:00,,NO,awaiting vendor
WO-000386,OT-01046,PLT-10,CALIBRATION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-10-05T22:00:00,2026-10-07T02:00:00,NO,documentation pending
WO-000387,OT-01079,PLT-10,EMERGENCY,IN_PROGRESS,DEGRADED,2026-09-17T20:00:00,2026-09-20T18:00:00,NO,parts substituted
WO-000388,OT-01493,PLT-14,EMERGENCY,CLOSED,RETURNED_TO_SERVICE,2026-09-21T18:00:00,,NO,documentation pending
WO-000389,OT-00115,PLT-02,INSPECTION,CLOSED,ACTIVE,2026-10-02T00:00:00,2026-10-02T08:00:00,NO,documentation pending
WO-000390,OT-00802,PLT-08,PM,DEFERRED,DEGRADED,2026-10-04T02:00:00,2026-10-06T18:00:00,NO,documentation pending
